Muted Lacoste,G,5,,"When you gain this, !Silence a minion.",Gain 3$.,This newly discovered gem innately allows its user to silence minions. Mist never told us where she found it.,,Buried Secrets,,15,21
Oblivium Resin,G,5,,,"Gain 2$. If you have three or more cards in hand that cost 0$, gain an additional 2$.","The power of this resin ebbs and flows - when placed next to stronger materials, the power of the resin fades, hidden away inside.",,Buried Secrets,,22,28
Shining Tetrite,G,6,,,Gain 4$ that cannot be used to gain a card.,"Tetrite was discovered by the breach mage Malastar, who is still unlocking its secrets. Some believe it to be useless, but a keen eye knows better.",,Buried Secrets,,29,35
Summonite,G,3,,,Gain 2$.#OR#Gain a Summonite from the supply and place it on top of any ally's discard pile.,"When imbued with the correct frequency of energies, the summonite is able to replicate itself, thus increasing its potential.",,Buried Secrets,,36,42
Triplite Core,G,4,,,Gain 3$ that can only be used to gain cards.,"Triplite is a fragile crystal, holding unbalanced energies inside. A careful hand is required to use it properly.",,Buried Secrets,,43,49
Voidium Spike,G,3,,,Gain 2$. Each ally may discard a card in hand. Each ally that does gains 1 charge.,"When driven into the ground, the Voidium Spike acts as a tether, allowing other nearby mages to draw charges from it.",,Buried Secrets,,50,56
Bottled Star,R,7,"C=3,$=C",,Gain 3 charges.,"Now that we have access to the stars themselves, our ancient rites allow us to borrow their power, storing it up for a time of great crisis.",,Buried Secrets,,57,61
Living Gauntlet,R,4,,,Reveal the top card of your deck. You may destroy or discard it. Each ally may draw a card. Each ally that does discards a card in hand.,This gauntlet hungers. Feed its greed and you will be rewarded.,,Buried Secrets,,62,66
Manifold Container,R,4,,,"Gain 1$. The next time you gain a card this turn, you may also gain a card that costs less than the gained card.","By bending the rules of space and time, this container allows a mage to conserve much of their aether.",,Buried Secrets,,67,71
Scholar's Opus,R,3,,,"Gain 1 charge. If there are seven or more cards in your discard pile, gain 1 additional charge.",There are many secrets to be found in the dusty stacks of old tomes left behind on the surface by long-dead scholars.,,Buried Secrets,,72,76
Soul Cords,R,5,,,Any player gains 1 pulse token. Each player with 2 or more pulse tokens gains 1 charge.,"Suspected to have been used in ancient ceremonies, this cord can bond souls together, allowing the bonded to share in their triumphs.",,Buried Secrets,,77,81
Blade of Wisdom,S,6,,"When you gain this, if there are seven or more other cards in your discard pile, gain 2 life.",Cast: Deal 5 damage.,"It is only after exhausting all other possibilities that the solution to your problems rises to the top, striking like a bolt of lightning.",,Buried Secrets,,82,86
Burning Current,S,3,,"While prepped, during your casting phase, you may lose 2 pulse tokens. If you do, spells you cast this turn deal 1 additional damage.",Cast: Deal 1 damage. Gain 1 pulse token.,"Like the flows of lava that are its namesake, this spell is channeled through a breach mage, allowing them to draw from their pulse to strengthen their other spells.",,Buried Secrets,,87,91
Double Tap,S,3,,,Cast: Deal 1 damage. Deal 1 damage.#(Effects that modify damage affect both instances of damage this spell deals.),"Sometimes, one shot isn't enough.",,Buried Secrets,,92,96
Draining Touch,S,2,,,Cast: Deal 1 damage. Gain 1 charge.,Xaxos taught us this simple spell to steal a creature's essence to fuel ourselves.,,Buried Secrets,,97,101
Flash of Intellect,S,4,,!Link,"Cast: Deal 3 damage. If there are six or more other cards in your discard pile, you may gain a Flash of Intellect from the supply and place it on top of your deck.","Clever breach mages adapt to the battlefield, seizing any advantage they can.",,Buried Secrets,,102,106
Nerve Jab,S,2,,,Cast: Deal 1 damage. !Silence a minion.,"With a few precise strikes to exactly the right points, we can impair a minion for a few precious moments.",,Buried Secrets,,107,111
Precision Shot,S,3,,!Link,"Cast: Deal 2 damage. If there are six or more other cards in your discard pile, deal 2 additional damage.","The time it takes to line up a perfect shot might seem like a waste to some, but the deadliness that comes with a precise strike is worth the preparation.",,Buried Secrets,,112,116
Psychic Eruption,S,8,,,Cast: Deal damage equal to the number of cards in any player's discard pile.,Brama's newest technique allows breach mages to leverage each other's minds and use that rush of knowledge to power their attacks.,,Buried Secrets,,117,121
Stunning Force,S,5,,,Cast: Deal 4 damage to the nemesis. !Silence a minion.,The sheer power of this spell is great enough that its reverberations stop nearby minions in their tracks.,,Buried Secrets,,122,126
,,,,,,,,,,,
# New Age,,,,,,,,,,,
,,,,,,,,,,,
Exogranite,G,3,"A=2/X,A=3",,Gain 2$.#OR#Destroy this. Gain 3$.,"""I love the colors this one makes when it explodes."" - Claudia",,The New Age,1a,2,8
Recurring Jasper,G,4,,,"Gain 2$. If the top card of your discard spell is a spell, you may place this gem on top of your deck.","""Most times, aether calls to magic. In this one, magic calls to aether."" - Lexive, Arcane Theorist",,The New Age,1a,9,15
Energized Rubidium,G,5,,,"Gain 3$. Any ally may discard a card in hand. If they do, that player gains 1 charge.","""Let knowledge empower you."" - Gygar",,The New Age,1a,16,22
Galvanized Bauble,R,3,,,Focus any ally's breach.#OR#Cast any player's prepped spell. You may destroy it.,"""I think I knew this relic once. I was happier then."" - Lost",,The New Age,1a,23,27
Aether Conduit,R,4,,,"Attach this to any player's breach. When a spell is cast from this breach, the player who cast that spell gains 1$.","""This is just one of the many techniques I brought from the Void."" - Qu",,The New Age,1a,28,32
Tethered Darts,S,3,,,"Cast: Deal 2 damage. If this was cast from an opened III or IV breach, you may place this into any ally's hand.","""Despite not being born in Gravehold, Inco quickly became one of us."" - Sahala",,The New Age,1a,33,37
Force Amplifier,S,4,,,"Cast: Deal 3 damage. If this was cast from an opened III or IV breach, deal 1 additional damage.","""Put your hand here, yes there. Bend this way. Okay, now imagine fire."" - Talix",,The New Age,1a,38,42
Imbued Smash,S,5,,,"Cast: Deal 4 damage. You may discard a card in hand. If you do, deal 2 damage to the nemesis.#(Effects that modify damage affect both instances of damage.)","""Of course it's done! Just... punch far away from me first, okay?"" - Claudia",,The New Age,1a,43,47
Patterned Strike,S,7,,,Cast: Deal 4 damage. You may return to your hand up to two cards in your discard pile that cost 0$.,"""Even breach magic is governed by rules of action and result."" - Lexive, Arcane Theorist",,The New Age,1a,48,52
,,,,,,,,,,,
Resonant Pearl,G,3,,,"Gain 2$. Any ally may discard a Resonant Pearl in hand and draw a card. If they do, gain an additional 1$.","""Aether echoes in numerous ways."" - Lexive, Arcane Theorist",,The New Age,1d,10,16
Caged Fire,R,3,"K=1,$=C,$=I/X,L=2,$=C",,Destroy the top card of any player's discard pile.#OR#Destroy this. Gain 2 life.,"""I've fed it so much and it's still hungry. How?"" - Inco",,The New Age,1d,17,21
Well of Energy,R,7,"G=2/L=2,$=A",,Gravehold gains 2 life.#OR#Any player gains 2 life.,"""Very well, I'll stay back this time. Take this at least, to restore you."" - Mazra",,The New Age,1d,22,26
Spirit Lift,S,8,,"While prepped once during your turn when you gain a charge, any ally gains 2 charges.",Cast: Deal 5 damage.,"""More!"" - Gygar",,The New Age,1d,27,31
,,,,,,,,,,,
Pain Conduit,R,3,,,"Attach this to any player's breach. When a spell is cast from this breach, it deals 2 additional damage, and discard this card.","""Duck!"" - Claudia",,The New Age,2b,8,12
Fatal Harmony,S,5,,,"Cast: Deal 4 damage. Any ally may discard a Fatal Harmony in hand and draw a card. If they do, deal 3 damage.#(Effects that modify damage affect both instances of damage.)","""By calibrating our essence to one another, we can nearly explode with power."" - Soskel",,The New Age,2b,13,17
Bouncing Boom,S,6,D=2;E,!Echo,Cast: Deal 2 damage.,"""A simple trick, but exponential in its potential."" - Taqren",,The New Age,2b,18,22
,,,,,,,,,,,
Unrefined Blaststone,G,6,,,"Gain 3$.#OR#Destroy a card in this card's supply pile. If you do, deal 3 damage.","""Not every blast needs to come from a spell."" - Lexive, Arcane Theorist",,The New Age,3b,17,23
Link Conduit,R,6,,,Attach this to any player's breach. Two spells may be prepped to this breach.,"""I can see the stars. They will fuel us."" - Sahala",,The New Age,3b,24,28
Reverberating Shock,S,4,"D=1,A=1,%=C;E",!Echo,Cast: Deal 1 damage. Gain 1$ that can only be used to gain cards.,"""Thank you, my friends. Go forth."" - Sahala",,The New Age,3b,29,33
,,,,,,,,,,,
Lurking Sionite,G,3,,,"Gain 2$. If there is a Lurking Sionite in any ally's discard pile, gain an additional 1$.","""One man can accomplish much, but give him brothers, sisters, friends? He is an army."" - Taqren",,The New Age,END,18,24
Marble Galaxy,R,2,,,"Any ally may discard a Marble Galaxy in hand and draw a card. Gain 1 charge or focus your closed breach with the lowest focus cost. If an ally discarded a Marble Galaxy, resolve both effects.","""Hold the world in your hands."" - Nook",,The New Age,END,25,29
Deluge of Power,S,6,,,Cast: Deal 4 damage. Any ally may discard up to two cards in hand. They draw a card for each card discarded this way.,"""Many secrets await us under the waves."" - Gygar",,The New Age,END,30,34
,,,,,,,,,,,
Shining Fluorite,G,7,,,Gain 3$. Place the next spell you gain this turn into your hand.,"""Never forget how unrestrained a spell can be if you loosen your grip."" - Lexive, Arcane Theorist",,The Ancients,,13,19
Polyphase Turbine,R,3,,,"If this is the first time you've played Polyphase Turbine this turn, gain 2$. Otherwise, gain 1 charge and 1$.","""It's soothing. Just turn it and feel the power swell inside you."" - Gygar",,The Ancients,,20,24
Breach Extractor,R,5,,,Any player destroys up to two cards in hand.#OR#Destroy this. Gravehold gains 3 life.,"""I remember... breach magic. Beyond flame. I will show you."" - Lost",,The Ancients,,25,29
Focusing Conduit,R,5,,,"Attach this to any player's breach. At the end of that player's casting phase, focus this breach. When this breach is opened, destroy this card.","""This is a neat shortcut I used to get out of lessons."" - Razra",,The Ancients,,30,34
Dual Flash,S,3,,,"Cast: Deal 2 damage. If this is the first time you have cast Dual Flash during your casting phase this turn, you may cast any player's prepped Dual Flash without discarding it.","""Repetition is key to mastery, even in magic."" - Lexive, Arcane Theorist",,The Ancients,,35,39
Dust Caller,S,5,,,Cast: Deal 4 damage. Any ally returns a card that costs 0$ from their discard pile to their hand.,"""While weak on their own, our simplest tools may be all we have left."" - Sahala",,The Ancients,,40,44
Symbiotic Synapse,S,7,,"If there is another Symbiotic Synapse in any player's discard pile, this gains !Echo.",Cast: Deal 4 damage.,"""Let us be like the insect and the flower, helping one another."" - Inco",,The Ancients,,45,49
,,,,,,,,,,,
Olivinite,G,3,,,Gain 2$.#OR#Deal 1 damage to a minion.,"""Break off a chunk and throw it as hard as you can."" - Rhia",,Shattered Dreams,,3,9
Cache Glass,G,4,,,"Gain 2$. If there is a Cache Glass in your discard pile, you may destroy a card in your discard pile.","""Numerous facets, reflecting into countless possibilities."" - Lexive, Arcane Theorist",,Shattered Dreams,,10,16
Reflective Conduit,R,3,,,"Attach this to any player's breach. When a spell is cast from this breach, the player who cast that spell may return it to their hand instead of discarding it. If they do, discard this.","""Slice it like this. Now expand and make it two."" - Qu",,Shattered Dreams,,17,21
Will Weaver,R,7,,,"Gain 2 charges. After the next time you activate your ability this turn, deal 3 damage.","""It makes me uncomfortable, hurts my head, but it flows with power."" - Talix",,Shattered Dreams,,22,26
Breach Seeker,S,5,"D=1,F,$=B;E",!Echo,Cast: Deal 1 damage. Focus any ally's breach.,"""Cut through the aether, bring me the Void!"" - Mazra",,Shattered Dreams,,27,31
Crescendo Ray,S,4,,,Cast: Deal 3 damage. Gain 1$ for each other spell you have prepped.,"""Do not challenge me."" - Soskel",,Shattered Dreams,,32,36
Storm Vapors,S,4,,,"Cast: Deal 3 damage. If there is another Storm Vapors in any player's discard pile, focus any player's breach.","""Mazra told me where to go, but I was the one to bring it back."" - Razra",,Shattered Dreams,,37,41
Mantra of Strength,S,3,,,"Cast: Any player focuses their closed breach with the highest focus cost. Deal 1 damage. You may destroy this. If you do, deal 2 additional damage.","""Three hundred reps, every day. Be the water."" - Gygar",,Shattered Dreams,,42,46
Embody Flame,S,7,,,"Cast: Deal 5 damage. You may destroy a card in this card's supply pile. If you do, deal 3 additional damage.","""Arms crossed, knee locked. Turn the aether to flame."" - Talix",,Shattered Dreams,,47,51
Snap Ritual,S,6,,"While prepped, once per turn during your main phase, you may discard a card in hand to deal 2 damage.",Cast: Deal 3 damage.,"""HahahAHAHA."" - Claudia",,Shattered Dreams,,52,56
,,,,,,,,,,,
Jeweled Brain,G,3,,,Gain 2$.#OR#Gain 1$. Return to your hand a card in your discard pile that costs 0$.,"""This is what our insides look like!"" - Claudia",,Into the Wild,,76,82
Blast Sphere,R,8,,,Cast any player's prepped spell three times without discarding it and then destroy it.,"""I'm starting to owe Kadir a lot of favors."" - Gygar",,Into the Wild,,83,87
Wound Mender,S,8,,!Echo,"Cast: Deal 2 damage. If this was cast from an opened III or IV breach, gain 1 life.","""Then, I extract its life essence. Simple. First I insert it here."" - Nook",,Into the Wild,,88,92
,,,,,,,,,,,
# Outcasts,,,,,,,,,,,
,,,,,,,,,,,
Molten Peridot,G,3,,,"Gain 2$. If this is the second time you have played Molten Peridot this turn, you may destroy this. If you do, gain a card that costs 4$ or less from any supply pile.",,,Outcasts,1a,2,8
Petrified Phoenixium,G,4,,,"Gain 2$. The next time you gain a card this turn, you may cast any player's prepped spell.",,,Outcasts,1a,9,15
Duplicating Sazite,G,6,,,"Gain 3$. The next time you gain a card this turn, you may discard a prepped spell that costs 1$ or more. If you do, any ally gains a card from the supply that costs less than or equal to the card you gained.",,,Outcasts,1a,16,22
Destiny Forger,R,4,,,Any ally may destroy a card in hand. That player may gain a card that costs up to 2$ more than the destroyed card and place it into their hand.#OR#Destroy this. Gain 2 charges.,,,Outcasts,1a,23,27
Transmuter's Lens,R,5,,,Destroy this. You may destroy a card in your hand or discard pile. Gain a card that costs up to 6$ from any supply pile.,,,Outcasts,1a,28,32
Fortified Frost,S,2,,,"Cast: Deal 2 damage. You may discard a card in hand. If you do, deal 1 additional damage.",,,Outcasts,1a,33,37
Twisted Fang,S,4,,,"Cast: Deal 3 damage. If this card's supply pile is empty, deal 1 additional damage.",,,Outcasts,1a,38,42
Lightning Arrow,S,5,,,"Cast: Deal 3 damage. You may discard a card in hand. If you do, Gravehold gains 1 life.",,,Outcasts,1a,43,47
Tornado of Insight,S,6,,,"Cast: Deal 5 damage. If you have no closed breaches, gain 1 charge.","""A breach has power, even without forcing magic through it."" - Lexive, Arcane Theorist",,Outcasts,1a,48,52
,,,,,,,,,,,
Galvanized Sapphire,G,4,"A=2,O=1",,Gain 2$. Xaxos: Outcast gains 1 charge.,,,Outcasts,1d,8,14
Vigorous Sunstone,G,5,,"When you gain this, if this is the second card you gained this turn, place this into your hand.",Gain 3$.,,,Outcasts,1d,15,21
Carnivorous Roox,R,3,,,Gain 1$. You may destroy a card in hand to gain $ equal to its cost.#OR#Destroy this. Focus your closed breach with the lowest focus cost twice.,,,Outcasts,1d,22,26
Infused Ignition,S,4,,,"Cast: Deal 3 damage. If Xaxos: Outcast has 4 or less charges, he gains 1 charge.",,,Outcasts,1d,27,31
,,,,,,,,,,,
Elongated Looq,G,4,,,"Gain 2$. The next time you focus or open a breach this turn, gain 1 charge.",,,Outcasts,2b,2,8
Chain of Retrieval,R,4,,,Focus any ally's breach.#OR#Return a card in your discard pile to your hand that costs 6$ or less.,,,Outcasts,2b,9,13
Paired Storm,S,3,"D=2,N=2,&D=+2;L",!Link,"Cast: Deal 2 damage. If this is the second time you have cast a Paired Storm this turn, deal 2 additional damage.",,,Outcasts,2b,14,18
Arcane Relay,S,8,,,Cast: Any ally draws a card and then reveals their hand. Deal 4 damage. Deal 1 additional damage for each card in that ally's hand that costs 1$ or more.,,,Outcasts,2b,19,23
,,,,,,,,,,,
Helix of Amber,G,3,,,"Gain 2$. You may suffer 1 damage. If you do, destroy a card that costs 0$ in your hand.",,,Outcasts,3b,2,8
Reconstituting Circuit,R,3,,,Xaxos: Outcast gains 1 charge. You may destroy a card in hand.,,,Outcasts,3b,9,13
Unhinged Vortex,R,7,,,"Any ally draws three cards. Then, they discard a card in hand.#OR#You may focus any ally's breach. Any ally may return a card in their discard pile to their hand.",,,Outcasts,3b,14,18
Radiant Conflux,S,5,,,Cast: Deal 3 damage. Any ally may draw a card and then discard a card in hand.,"""When dealing with magic, you cannot rely on your eyes and ears. You must learn to rely on senses beyond that."" - Lexive, Arcane Theorist",,Outcasts,3b,19,23
,,,,,,,,,,,
Unstable Pyrite,G,2,"A=1,X,&=H,$=C,A=+2,&=I,$=C",,"Gain 1$. You may destroy this. If you do, gain an additional 2$.",,,Outcasts,END,2,8
Orb of the Deep,R,2,"F=0,$=C/X,C=1,$=C",,Focus your closed breach with the lowest focus cost.#OR#Destroy this. Gain 1 charge.,,,Outcasts,END,9,13
Rift Dagger,R,3,,,"Gain a card from any other supply pile that costs 3$ or less. You may destroy this to gain a card that costs up to 4$ instead. You may spend 1$. If you do, place that card into your hand.",,,Outcasts,END,14,18
Bottled Sun,R,6,O=3,,Xaxos: Outcast gains 3 charges.,,,Outcasts,END,19,23
Shattering Bolt,S,4,,,"Cast: Deal 2 damage. You may destroy a card in your hand.#OR#Cast: Discard a gem in hand. If you do, deal 4 damage.",,,Outcasts,END,24,28
Unstable Rift,S,5,,"While prepped, at the end of your casting phase, deal 1 damage and gain 1$.",Cast: Deal 4 damage.,,,Outcasts,END,29,33
Gathered Will,S,5,,,Cast: Deal 2 damage. You may gain a spell from any supply pile that costs 4$ or less and place it on top of your deck.,,,Outcasts,END,34,38
Hasted Intellect,S,6,,"While prepped, when you gain a card, you may place that card on top of your deck.",Cast: Deal 4 damage.,"""A mage's mind is a useful weapon. We should try to sharpen it as we would any weapon."" - Lexive, Arcane Theorist",,Outcasts,END,39,43
Swarm of Flame,S,6,,,Cast: Deal 5 damage. You may cast any player's prepped spell that costs 5$ or less.,,,Outcasts,END,44,48
Dizzying Burst,S,8,,,Cast: Deal 6 damage. Reveal the turn order deck. Return it in any order.,"""If magic alone can disorient them, it means their lens of the world may be as imperfect as ours."" - Lexive, Arcane Theorist",,Outcasts,END,49,53
,,,,,,,,,,,
Quickening Qitite,G,3,,,"Gain 2$. You may discard a card in hand. If you do, focus any player's II breach.",,,Southern Village,,1,7
Jeweled Urup,G,5,,,"Gain 3$.#OR#If this is the second time you have played Jeweled Urup this turn, you may destroy this. If you do, gain a card from any supply pile that costs 7$ or less.",,,Southern Village,,8,14
Cat's Eye,R,1,,You cannot gain this card if you have gained another card this turn. You cannot gain any other cards the turn you gain this.,"Gain 1 charge. You may destroy this. If you do, gain 1$.",,,Southern Village,,15,19
Volt Replicator,R,4,,,"Any ally gains a card that costs 5$ or less. If there are two or fewer Volt Replicators in the supply, you may destroy this. If you do, place the gained card into that ally's hand instead.",,,Southern Village,,20,24
Energized Conduit,R,7,,,"Attach this to any player's breach. When a spell is cast from this breach, the player who cast that spell gains 1 charge.",,,Southern Village,,25,29
Flame Jab,S,1,,,"Cast: Deal 2 damage to a minion. You may destroy this. If you do, gain 1$.",,,Southern Village,,30,34
Gathering Winds,S,3,,,"Cast: Deal 2 damage. If there are six or more other cards in your discard pile, focus any player's breach.",,,Southern Village,,35,39
Cinder Shower,S,5,,"While prepped, when you gain a card, deal 1 damage.",Cast: Deal 3 damage.,,,Southern Village,,40,44
Reaper's Flame,S,7,,"While prepped, once per turn when you cast another spell, you may gain a card that costs 5$ or less from any supply pile.",Cast: Deal 5 damage.,,,Southern Village,,45,49
Erasure of Mind,S,7,,,"Cast: Destroy a card in hand that costs 3$ or more. If you do, deal 10 damage.#OR#Cast: Deal 5 damage. Reveal the top two cards of your deck and place any number on top of your discard pile.",,,Southern Village,,50,54
,,,,,,,,,,,
Glass-Eyed Oracle,R,1,,,Gain 1$.#OR#Destroy this and any number of copies of this card in hand. You may gain a card with cost up to three times the number of copies destroyed,,,Return to Gravehold,,1,5
Cleanse,S,4,,,"Cast: Deal 3 damage. If you have 3 or less life, gain 1 life.",,,Return to Gravehold,,6,10
Memory Break,S,6,,,"Cast: Deal 3 damage. You may destroy a card in hand. If you do, deal additional damage equal to the cost of the destroyed card.",,,Return to Gravehold,,11,15
,,,,,,,,,,,
#Legacy of Gravehold,,,,,,,,,,,
,,,,,,,,,,,
Nebula Shard,G,3,,,Gain 2$.#OR#Gain 1$ for each spell you cast during your casting phase this turn.,"""I do have to give your gems some credit. They are very beautiful."" - Ilya",,Legacy of Gravehold (Azer),,2,9
Irradiated Jewel,G,4,,,"Gain 2$.#tiny  You may reveal the top card of the turn order deck to gain an additional 1$. If a player card was revealed, overheat this card.#tiny  If this card is fully overheated, destroy it and Gravehold suffers 3 damage.","""Be careful with this one. It has something of the Void in it."" - Qu",,Legacy of Gravehold (Azer),,9,16
Leviathan Shell,G,5,,,"Gain 2$.#If you have played two or more other gems or relics that cost 3$ or more this turn, boost this. Gain an additional 1$ for each boost mark on this card.","""The Portalborn are filled with magic. Even when they're gone, their remnants are still connected to it."" - Perth, Frayed Fuse",,Legacy of Gravehold (Azer),,16,23
Frozen Light,G,5,,Gain 3$.,"You may discard this during any ally's turn. If you do, they gain 1 charge and you gain 1 charge.","""Beautiful, intangible, transient."" - Ilya",,Legacy of Gravehold (Azer),,10,17
Voidsteel Vein,G,4,,Gain 2$.,"You may discard this when any ally casts a spell that costs 1$ or more. If you do, that spell deals 2 additional damage.","""Dual-sided. I like it."" - Qu",,Legacy of Gravehold (Azer),,22,29
Starglass,G,3,,,Gain 2$.#Or#Conjure.,"""Properly refined, this material was once used to view the galaxies above. Or so the stories say."" - Yan Magda",,Legacy of Gravehold (Azer),,6,13
Scrying Sugilite,G,3,,,"Gain 2$.#You may reveal the top card of your deck. If it is a spell, gain an additional 1$.","""A facet of what might be, charged by those who prepare for that future."" - Lexive, Arcane Scholar",,Legacy of Gravehold (Gravehold),,2,9
Cobalt Clump,G,4,,,"Gain 2$.#The next time you gain a card that costs 5$ or more this turn, silence a minion.","""Reminds me of the water. Hopefully this won't take too long and I can return to my excavation."" - Gygar",,Legacy of Gravehold (Gravehold),,9,16
Aether Dust,G,5,,,Gain 2$.#Each ally gains an$ token.,"""It's almost like many gems fused together into a conglomerate. I've never seen the like!"" - Kadir",,Legacy of Gravehold (Gravehold),,16,23
Sunken Onyx,G,3,,Gain 2$.,"You may discard this after any ally focuses a breach. If you do, they focus that breach again.","""Not so sunken anymore, now that I've retrieved it from the ruins of Old Gravehold."" - Gygar",,Legacy of Gravehold (Gravehold),,10,17
Glint Splinter,G,4,,"Recall: You may discard a prepped spell. If you do, gain 1$ and you may place the next card you gain this turn on top of your deck.",Gain 2$.,"""Glinty!!"" - Claudia",,Legacy of Gravehold (Gravehold),,6,13
Darklite Sample,G,3,,,Gain 2$.#You may place your deck into your discard pile without rearranging the cards.,"""Rearranging the future was the only way I will be able to understand it."" - Nook",,Legacy of Gravehold (Gravehold),,23,30
Galactum Cache,G,4,,,"Gain 2$.#Any ally draws cards equal to the boost marks on this card. Then, they discard that many cards.#The next time you gain a card that costs 6$ or more this turn, boost this.","""A bit of star stuff, fallen to the ground."" - Inco",,Legacy of Gravehold (Gravehold),,6,13
Shattered Rupix,G,5,,"When another card or effect would cause you to discard or destroy this, you may return this to your hand. (Ignore this effect while this card is in the supply.)",Gain 3$.,"""The more imperfections there are, the more places to wiggle your fingers into and grip tight!"" - Talix",,Legacy of Gravehold (Gravehold),,23,30
Shifter's Cloak,R,3,,,"Focus any player's breach. If that breach is opened this way, boost this.#If this card is fully boosted, cast any player's prepped spell. It deals an additional 1 damage.","""I suppose we're officially fugitives now. We should be cautious."" - Taqren",,Legacy of Gravehold (Azer),,23,28
Lightbringer Staff,R,6,,,The players collectively destroy up to two cards in their hands.#OR#Silence up to two minions.#OR#Destroy this. Remove a fire token from your location on the map.,"""Let me show you all the wonders of the surface world."" - Ilya",,Legacy of Gravehold (Azer),,28,33
Brimstone Battery,R,4,,,"Any player destroys a card in their hand or discard pile. If that card costs 3$ or more, boost this.#OR#Attach this to any player's breach. When a spell is cast from this breach, if this card is fully boosted, Gravehold gains 1 life.","""I just want to protect my home, and all the people who need me."" - Taqren",,Legacy of Gravehold (Azer),,17,22
Martyr's Bone,R,3,,,Focus one of your breaches or Conjure.#You may lose 1 charge to do both.,"""I found it in one of these abandoned houses. I hope they'll be glad to know they'll be of aid to us in defending their village."" - Indira",,Legacy of Gravehold (Azer),,18,23
Summoner's Horn,R,5,,Recall: Discard a card to gain 1 charge.,Any player may prep a spell in their discard pile to their opened or closed breaches.,"""I wanted to call it the 'Rip, get over here' horn but apparently nobody likes my naming schemes."" - Razra",,Legacy of Gravehold (Azer),,6,11
Phoenix Quill,R,6,,Two different players gain 1 life each.,A@ Recall: Lose 1 charge to return a card that costs 3$ or less from your discard pile to your hand.,"""Once more from the ashes, as I myself have come."" - Thraxir",,Legacy of Gravehold (Azer),,16,21
Electrum Rod,R,3,,,"Any player may focus one of their breaches.#If that player has a prepped spell that costs 5$ or more, gain 1 charge.","""The surface has provided many new materials. Even this simple form can channel magic."" - Lexive, Arcane Scholar",,Legacy of Gravehold (Gravehold),,23,28
Chaos Charm,R,5,,,"Two different players may destroy a card in hand.#You may destroy this. If you do, remove a fire token from your location on the map.","""I think this jewelry stall may have some unintended side effects."" - Kadir",,Legacy of Gravehold (Gravehold),,28,33
Echo Rune,R,2,,Any player gains 1 charge.,"You may discard this during any ally's main phase. If you do, they gain 1$.","""These markings adorn much of the surface, and we've only glimpsed the simplest uses so far."" - Lexive, Arcane Scholar",,Legacy of Gravehold (Gravehold),,22,27
Void Anchor,R,5,,Silence a minion. Any ally gains 2$ tokens.,A@ Recall: Gravehold gains 1 life.,"""An anchor. That is what I will need."" - Nook",,Legacy of Gravehold (Gravehold),,18,23
Aether Ripple,S,3,,,Cast: Deal 2 damage.#Each ally gains an$ token.,"""Aether is aether. You can put it in the air and as long as it lingers there, another can use it."" - Perth, Frayed Fuse",,Legacy of Gravehold (Azer),,33,38
Douse,S,4,,,"Cast: Deal 3 damage.#You may destroy this. If you do, remove a fire token from your location on the map.","""These monsters will destroy the whole forest if we're not careful."" - Kel",,Legacy of Gravehold (Azer),,38,43
Backfire,S,5,,,Cast: Deal 4 damage.#You may lose 1 charge to return this to your hand.,"""We all must make sacrifices."" - Qu",,Legacy of Gravehold (Azer),,43,48
Paradigm Flux,S,7,,,Cast: Remove up to 2 shield tokens from minions.#Deal 5 damage.,"""It's as though the entire world I've always known has been turned entirely on its head."" - Taqren",,Legacy of Gravehold (Azer),,48,53
Entwined Tremor,S,8,,,"Cast: Deal 6 damage.#If there is a spell that costs 5$ or more prepped to an adjacent breach, this deals 2 additional damage.#If there is a spell that costs 4$ or less prepped to an adjacent breach, gain 1 charge.","""Magic is connection. To a Tether and the world. A powerful spell requires awareness of that."" - Perth, Frayed Fuse",,Legacy of Gravehold (Azer),,29,34
Galvanize,S,4,,"While prepped, once during your main phase, you may Conjure.",Cast: Deal 2 damage.,"""Our very bodies are our greatest weapons, Indira, do not forget that."" - Yan Magda",,Legacy of Gravehold (Azer),,13,18
Temporal Strike,S,6,,"While prepped, when you cast a spell that costs 2$ or less, it deals 1 additional damage and you may return it to your hand.",Cast: Deal 4 damage.,"""Breaches are not a tunnel with a single direction. They are part of the aether all around us. My master taught me that."" - Indira",,Legacy of Gravehold (Azer),,23,28
Parallel Self,S,6,,Cast: Deal 5 damage.,A@ Recall: Spend 2$ to deal 2 damage.,"""Most here know what it's like to have someone standing beside them. It's different, trying to fill that space yourself."" - Perth, Frayed Fuse",,Legacy of Gravehold (Azer),,11,16
Magnetic Burst,S,4,,,Cast: Deal 3 damage.#You may reveal the top two cards of your deck and place any number of those cards on top of your discard pile.,"""What goes around goes around again!"" - Razra",,Legacy of Gravehold (Azer),,21,26
Grassblade,S,2,,,"You may destroy this from your hand during any ally's main phase. If you do, draw a card.#Cast: Deal 2 damage.","""Underground, it would be impossible. Here, it is merely impractical."" - Lexive, Arcane Scholar",,Legacy of Gravehold (Gravehold),,33,38
